train_id,distance_km,scheduled_speed_kmh,actual_speed_kmh,scheduled_time_min,actual_time_min,departure_time,scheduled_arrival,actual_arrival,actual_delay_min,predicted_delay_min
T001,152,66,57.29,138.18,159.19,09:40,11:58,12:19,21.01,18.24
T002,485,52,63.18,559.62,460.59,10:34,19:53,18:14,-99.03,-120.32
T003,398,84,73.53,284.29,324.78,07:47,12:31,13:11,40.49,35.44
T004,320,72,89.75,266.67,213.94,08:57,13:23,12:30,-52.73,-65.72
T005,156,45,51.86,208.0,180.5,07:37,11:05,10:37,-27.5,-31.69
T006,121,63,74.53,115.24,97.42,10:03,11:58,11:40,-17.82,-21.08
T007,238,58,41.23,246.21,346.38,07:47,11:53,13:33,100.17,71.2
T008,70,55,70.27,76.36,59.77,07:29,08:45,08:28,-16.6,-21.21
T009,152,79,89.74,115.44,101.62,08:34,10:29,10:15,-13.82,-15.7
T010,171,67,59.15,153.13,173.45,10:24,12:57,13:17,20.32,17.94
T011,264,72,86.23,220.0,183.7,10:59,14:39,14:02,-36.3,-43.48
T012,380,98,85.15,232.65,267.75,08:26,12:18,12:53,35.1,30.5
T013,137,98,119.92,83.88,68.55,08:43,10:06,09:51,-15.33,-18.76
T014,422,87,66.78,291.03,379.17,08:39,13:30,14:58,88.14,67.65
T015,149,80,89.78,111.75,99.58,08:47,10:38,10:26,-12.17,-13.66
T016,409,52,53.27,471.92,460.67,10:59,18:50,18:39,-11.25,-11.52
T017,201,82,62.15,147.07,194.05,10:29,12:56,13:43,46.98,35.6
T018,180,84,70.99,128.57,152.13,09:56,12:04,12:28,23.56,19.91
T019,199,64,45.28,186.56,263.71,09:22,12:28,13:45,77.15,54.58
T020,358,92,90.28,233.48,237.94,10:56,14:49,14:53,4.46,4.38
T021,307,81,71.34,227.41,258.19,10:00,13:47,14:18,30.79,27.12
T022,393,75,79.43,314.4,296.88,10:10,15:24,15:06,-17.52,-18.55
T023,463,66,57.97,420.91,479.21,10:15,17:15,18:14,58.3,51.21
T024,343,77,67.76,267.27,303.74,07:36,12:03,12:39,36.46,32.09
T025,435,99,113.45,263.64,230.07,10:01,14:24,13:51,-33.57,-38.47
T026,241,46,33.53,314.35,431.27,10:39,15:53,17:50,116.92,85.22
T027,493,44,54.64,672.27,541.4,07:11,18:23,16:12,-130.88,-162.51
T028,326,82,99.33,238.54,196.92,07:22,11:20,10:38,-41.62,-50.42
T029,210,84,92.46,150.0,136.28,09:05,11:35,11:21,-13.72,-15.1
T030,363,97,102.43,224.54,212.64,10:42,14:26,14:14,-11.89,-12.56
T031,71,96,118.6,44.38,35.92,10:15,10:59,10:50,-8.45,-10.45
T032,302,90,73.01,201.33,248.19,10:45,14:06,14:53,46.86,38.01
T033,285,70,52.32,244.29,326.86,08:10,12:14,13:36,82.57,61.71
T034,394,62,52.31,381.29,451.92,07:10,13:31,14:41,70.63,59.59
T035,98,81,95.32,72.59,61.69,07:18,08:30,08:19,-10.9,-12.83
T036,108,49,35.32,132.24,183.47,08:39,10:51,11:42,51.22,36.92
T037,219,71,74.53,185.07,176.31,09:53,12:58,12:49,-8.76,-9.2
T038,237,82,106.38,173.41,133.68,10:08,13:01,12:21,-39.74,-51.55
T039,320,92,111.63,208.7,171.99,09:13,12:41,12:04,-36.71,-44.54
T040,239,69,69.89,207.83,205.19,08:13,11:40,11:38,-2.64,-2.67
T041,495,78,57.58,380.77,515.82,09:52,16:12,18:27,135.05,99.69
T042,224,70,83.92,192.0,160.16,07:34,10:46,10:14,-31.84,-38.17
T043,495,57,60.39,521.05,491.84,10:30,19:11,18:41,-29.21,-30.94
T044,100,75,57.67,80.0,104.04,06:11,07:31,07:55,24.04,18.48
T045,413,41,31.01,604.39,799.13,07:32,17:36,20:51,194.74,147.28
T046,104,53,66.03,117.74,94.51,06:36,08:33,08:10,-23.23,-28.94
T047,293,52,57.28,338.08,306.92,10:13,15:51,15:19,-31.16,-34.32
T048,369,68,81.43,325.59,271.87,06:31,11:56,11:02,-53.71,-64.33
T049,180,51,62.6,211.76,172.53,08:16,11:47,11:08,-39.23,-48.15
T050,356,78,81.36,273.85,262.54,07:29,12:02,11:51,-11.31,-11.79
T051,184,41,41.43,269.27,266.48,06:06,10:35,10:32,-2.79,-2.82
